stage_id,stage_name,research_domain,hypothesis_id,hypothesis,prior_hypothesis_source,experiment_design,dataset_path,report_path,raw_row_count,raw_game_count,independent_sample_size,matched_set_count,seed_count,behavioral_regime_count,primary_outcome,comparison,control_condition,descriptive_effect,absolute_percentage_point_effect,effect_size_type,effect_size,confidence_interval,raw_p_value,adjusted_p_value,multiplicity_method,evidence_level,seed_robustness,regime_robustness,design_validity,engine_validity,distribution_shift_status,overfitting_status,leakage_status,conclusion_label,hypothesis_status,main_limitation,supersedes_stage_id,superseded_by_stage_id,next_hypothesis,source_commit,current_documentation_commit
stage1_baseline,Low-information baseline,baseline simulation,H1_low_information_wolf_advantage,Wolves dominate when village agents lack reliable information.,experiment_report.md,7-player Stage 1 ablation with random voting baseline.,results/ablation_results.csv,experiment_report.md,6 exported ablation rows; Stage 1 report states 500 games per condition,500 per condition reported in Stage 1 report; current exported CSV has 100 per condition,games per condition,NA,not reported,not reported,wolf_win_rate,random_baseline,NA,random baseline wolf win 93 percent and village win 7 percent,86 pp wolf-village gap,percentage-point gap,86 pp,not reported,not reported,not reported,not applied,LEVEL 1 - descriptive pilot,not reported,not reported,not reported,not separately tested,not assessed,not assessed,not assessed,hypothesis supported,supported descriptively,Stage 1 report and later exported ablation CSV differ on game count; no formal inference.,,,Special-role information should reduce wolf advantage.,e4e583387febd51dddc6330076db6f2a2a7532bc,pending_current_stage_commit
stage1_special_roles,Special-role activation,role mechanics,H2_special_roles_reduce_wolf_advantage,"Seer, witch, and hunter mechanics reduce wolf advantage by adding information and intervention.",experiment_report.md,Sequential role-action ablation.,results/ablation_results.csv,experiment_report.md,6 exported ablation rows; report table has role-action conditions,500 per condition reported in Stage 1 report,games per condition,NA,not reported,not reported,village_win_rate,random_baseline vs witch_action and hunter_action,random_baseline,witch_action village win 49 percent; hunter_action village win 46 percent in Stage 1 report,witch plus 42 pp over baseline village win,percentage-point difference,+42 pp village win for witch_action vs baseline,not reported,not reported,not reported,not applied,LEVEL 1 - descriptive pilot,not reported,not reported,not reported,not separately tested,not assessed,not assessed,not applicable,promising but uncertain,partially supported descriptively,Role effects were sequential and not formally isolated.,,,Speech and belief mechanisms should further improve village coordination.,e4e583387febd51dddc6330076db6f2a2a7532bc,pending_current_stage_commit
stage2_speech,Speech and information flow,social information,H3_speech_improves_village_coordination,Speech-like signals and belief updates improve village coordination.,stage2_experiment_report.md,"Stage 2 ablation adding speech, p_wolf, herding, role prior, and wolf strategy.",results/ablation_results.csv,stage2_experiment_report.md,15 exported ablation rows,100 per condition in current exported CSV,games per condition,NA,not reported,not reported,village_win_rate,random_baseline vs speech_enabled,random_baseline,current exported CSV shows village win 59 percent under speech_enabled vs 7 percent baseline,+52 pp village win,percentage-point difference,+52 pp,not reported,not reported,not reported,not applied,LEVEL 1 - descriptive pilot,not reported,not reported,not reported,not separately tested,not assessed,not assessed,not assessed,promising but uncertain,supported descriptively,Structured speech labels are not full BoW tokenization or quantified text features.,,,Trust and credibility should control deceptive speech influence.,e4e583387febd51dddc6330076db6f2a2a7532bc,pending_current_stage_commit
stage3_deception,Wolf deception and credibility costs,deception,H4_credibility_costs_constrain_deception,"Wolf deception can increase wolf advantage, but credibility costs should prevent cost-free manipulation.",stage3_experiment_report.md,"Wolf deception strategy diagnostics with false accusation, deflection, role claim, adaptive policy, and credibility penalties.",stage3_experiment_report.md,stage3_experiment_report.md,strategy summary tables only,100 per diagnostic condition reported,games per condition,NA,not reported,not reported,wolf_win_rate,false_accuse before and after credibility costs,cost-free false_accuse,false_accuse fell from 78 percent wolf win to 50 percent after accusation costs; deflection fell to 46 percent after self-defense costs,-28 pp for false_accuse after accusation costs,percentage-point difference,-28 pp,not reported,not reported,not reported,not applied,LEVEL 1 - descriptive pilot,not reported,not reported,not reported,not separately tested,not assessed,not assessed,not assessed,promising but uncertain,supported descriptively,No formal multi-seed inference for deception-specific contrasts.,,,Speaker-specific trust memory should make deception less effective.,e4e583387febd51dddc6330076db6f2a2a7532bc,pending_current_stage_commit
stage4_speaker_memory,Speaker-specific trust memory,trust and reputation,H5_speaker_memory_reduces_deception,Speaker-specific trust memory helps villagers resist wolf deception.,stage4_experiment_report.md,Trust vote-weight sensitivity experiment.,speaker_memory_sensitivity.py output summarized in stage4_experiment_report.md,stage4_experiment_report.md,summary table only,500 per condition reported,games per condition,NA,1,not reported,wolf_win_rate,trust_vote_weight 0.40 vs 0.00,trust_vote_weight 0.00,wolf win fell from 47.80 percent to 36.40 percent,-11.40 pp,percentage-point difference,-11.40 pp,not reported,not reported,not reported,not applied,LEVEL 2 - replicated descriptive experiment,not reported,not reported,not reported,not separately tested,not assessed,not assessed,not assessed,promising but uncertain,partially supported,Single-seed sensitivity and nonmonotonic response.,,,Risk preference and larger ten-player games should test robustness of social mechanisms.,e4e583387febd51dddc6330076db6f2a2a7532bc,pending_current_stage_commit
ten_player_multi_seed,Ten-player multi-seed robustness,larger-game robustness,H6_mechanisms_generalize_to_ten_players,Core mechanisms generalize to a 10-player game.,ten_player_experiment_report.md,Five-seed ten-player summary over six conditions.,results/ten_player_multi_seed_summary.md,ten_player_experiment_report.md,summary table only,2500 per condition,games per condition,NA,5,not reported,village_win_rate,ten_player_speech vs ten_player_baseline,ten_player_baseline,speech village mean 65.16 percent vs baseline 43.68 percent,+21.48 pp village win,percentage-point difference,+21.48 pp,not reported,not reported,not reported,not applied,LEVEL 2 - replicated descriptive experiment,not reported,not reported,not reported,not separately tested,not assessed,not assessed,not assessed,promising but uncertain,supported descriptively across seeds,Summary lacks formal CIs and p-values.,,,Risk preference changes collective resilience and payoff distribution.,e4e583387febd51dddc6330076db6f2a2a7532bc,pending_current_stage_commit
risk_preference_multi_seed,Risk preference multi-seed robustness,risk preference,H7_conservative_majority_reduces_wolf_win,Conservative-majority populations reduce wolf win rate relative to neutral trust memory.,risk_preference_experiment_report.md,Five-seed ten-player risk-preference robustness with 500 games per seed-condition.,results/ten_player_risk_preference_multi_seed_summary.md,risk_preference_experiment_report.md,8 summary rows plus raw multi-seed CSV,2500 per condition,games per condition and seed-condition cells,NA,5,not reported,wolf_win_rate,ten_player_trust_memory_risk_conservative_majority vs ten_player_trust_memory,ten_player_trust_memory,wolf mean 38.56 percent vs 42.96 percent,-4.40 pp,percentage-point difference,-4.40 pp wolf win,not reported,not reported,not reported,not applied,LEVEL 2 - replicated descriptive experiment,not reported,not reported,not reported,not separately tested,not assessed,not assessed,not assessed,promising but uncertain,supported descriptively across seeds,No formal statistical contrast reported.,,,Position and search strategy should be tested with randomized role assignment.,e4e583387febd51dddc6330076db6f2a2a7532bc,pending_current_stage_commit
seer_position_randomized_roles,Randomized-role seer position,position theory,H8_edge_seats_are_more_wolf_heavy,Edge seats contain more wolves after randomized role assignment.,seer_position_randomized_roles_report.md,Game-level randomized-role seer-position analysis.,results/ten_player_seer_position_randomized_roles_game_level_raw.csv,results/data_analysis/seer_position_game_level/analysis_report.md,17500 game rows,17500,17500 games,NA,5,not reported,edge seat wolf probability,edge seats vs inner seats,expected 30 percent role-pool probability,"edge 30.23 percent, inner 29.85 percent, expected 30.00 percent",+0.23 pp edge vs expected,Cramer's V,0.009,edge CI 29.89 percent to 30.57 percent,0.281,not required for single hypergeometric check,not applied,LEVEL 3 - formal statistical analysis,leave-one-seed-out diagnostics performed,not reported,roles randomized across seats,not separately tested,not assessed,not assessed,not assessed,hypothesis rejected,rejected,Simulation-only result.,,,Structured search paths may matter more than edge categories.,e4e583387febd51dddc6330076db6f2a2a7532bc,pending_current_stage_commit
seer_position_randomized_roles,Randomized-role seer position,position theory,H9_edge_first_improves_village_outcomes,Edge-first seer checking improves village outcomes over random after role randomization.,seer_position_randomized_roles_report.md,Seed-adjusted game-level logistic model.,results/ten_player_seer_position_randomized_roles_game_level_raw.csv,results/data_analysis/seer_position_game_level/analysis_report.md,17500 game rows,17500,17500 games,NA,5,not reported,village_win_rate,edge_first vs random,random,edge_first first-check wolf 34.20 percent vs random 34.72 percent; adjusted village model OR 1.05,first-check difference -0.52 pp,odds ratio,1.05,OR CI 0.94 to 1.17,0.417,not significant after correction,Holm for related pairwise tests,LEVEL 3 - formal statistical analysis,leave-one-seed-out diagnostics did not reverse conclusion,not reported,randomized role assignment,not separately tested,not assessed,not assessed,not assessed,hypothesis rejected,rejected,Edge-first higher than default but not random; structured path remains separate hypothesis.,,,Explicit structured seer search strategies may improve information acquisition.,e4e583387febd51dddc6330076db6f2a2a7532bc,pending_current_stage_commit
structured_seer_search,Structured seer search,information search,H10_alternate_sides_outperforms_random,Diversified alternate-side seer search outperforms random checking.,results/structured_seer_search/structured_seer_search_experiment_report.md,14-strategy game-level comparison with seed-adjusted logistic models.,results/structured_seer_search/structured_seer_search_game_level_raw.csv,results/data_analysis/structured_seer_search/analysis_report.md,35000 game rows,35000,35000 games,NA,5,not reported,village_win_rate,alternate_sides vs random,random,alternate_sides village win 44.16 percent vs random 40.52 percent,+3.64 pp village win,odds ratio,1.161,OR CI 1.038 to 1.299,0.0092,0.0552,Holm,LEVEL 4 - robustness-validated,seed-stratified and leave-one-seed-out summaries,not reported,randomized roles; strategy pre-treatment,not separately tested,not assessed,not assessed,not assessed,promising but uncertain,unresolved after correction,Positive contrast narrowly missed Holm-adjusted significance.,,,Seat-order-neutral tests should isolate label and direction artifacts.,e4e583387febd51dddc6330076db6f2a2a7532bc,pending_current_stage_commit
